CJD.FC_vs_CT.FC	AveExpr	F	P.Value	adj.P.Val
TYROBP	1.89841714285714	7.56247173913043	10.6234932674619	2.41084056444119e-05	3.88062867515684e-05
TNFRSF10B	1.15335285714286	4.88202826086957	10.3540459299854	3.02241784565153e-05	4.82621612080084e-05
MAP3K14	1.07667142857143	7.55669565217391	10.3352173104461	3.07081104731357e-05	4.89372278456346e-05
ITGB5	1.18407142857143	8.70209565217391	10.2816428198278	3.21298846067979e-05	5.11012081221437e-05
BOK	1.18638714285714	8.46122391304348	10.2271355267154	3.36471738891565e-05	5.30921875963022e-05
CD47	-1.01337142857143	10.8112826086957	10.0650061057298	3.86190501571069e-05	6.02246396212193e-05
MSR1	2.72891857142857	6.77827608695652	9.56212314347744	5.95438755646107e-05	9.02179932797132e-05
CD163	2.16521571428571	5.35227173913044	9.4890158698064	6.34568726402831e-05	9.59650247868176e-05
APOE	1.01977142857143	12.7492608695652	9.18954484088248	8.25151189742021e-05	0.000123618155766595
C3	1.30261	7.55189782608696	8.92266342246586	0.000104547053864139	0.0001554603031437
CCL4	1.00971428571429	5.06497391304348	8.49226693442385	0.000153945184972307	0.000225974583445589
CYBB	1.31051714285714	7.11434782608696	8.29970620655668	0.000183439913720527	0.000267795494482522
FPR1	1.41165714285714	5.15535434782609	8.27546914408425	0.000187550214573972	0.000273297216136935
SIGLEC8	1.34948714285715	5.03701739130435	8.0031480951267	0.000240932673827503	0.000350447525567278
IKBKE	1.33927571428571	5.18910869565217	7.89621359254085	0.000266035147071595	0.000384860972255472
IRF8	1.38768142857143	5.90658043478261	7.86708227223377	0.000273336329286948	0.000394709500775377
MS4A4A	1.26481571428571	5.2015847826087	7.70911553683326	0.000316738498876913	0.000456559998381135
BIRC5	1.00657857142857	4.92543695652174	7.31785611747443	0.000458158946532361	0.000649870846145193
B3GNT5	1.19448428571429	6.08028913043478	5.75829755364209	0.00212040205191523	0.00282720273588697
CCL3	1.01050714285714	5.02533043478261	5.55585642945913	0.002606163073431	0.0034575961173214
FCGR3A	1.29984571428572	5.83730217391304	4.35558615551408	0.00917917737153346	0.0115643179483886
