logFC	AveExpr	t	P.Value	adj.P.Val	B
BAG3	2.304945	9.78685434782609	6.44259424898665	8.33702704273446e-08	8.33702704273446e-07	7.83124956647683
GBP2	3.41056428571429	6.62975652173913	6.42259570460937	8.91451910023616e-08	8.80446330887522e-07	7.76598991556825
DLX1	-1.29735	6.01054130434783	-6.40607836249933	9.4215621584038e-08	9.19176795941835e-07	7.71208926633938
SLC6A1	-3.07244761904762	10.2293804347826	-6.38555900471184	1.00918462338687e-07	9.72708070734334e-07	7.64512836574723
eIF2S1	-1.76435047619047	8.26659130434783	-6.38134846452406	1.02351810832594e-07	9.74779150786606e-07	7.63138807534312
BDNF	-2.56390166666666	6.89199565217391	-6.36008635673143	1.09907062074449e-07	1.03441940775952e-06	7.56200351929867
MAFF	3.486235	5.87636304347826	6.34992999296228	1.13710503136388e-07	1.05777212219895e-06	7.52886060652471
CD68	3.89285714285714	6.4148652173913	6.34135298059394	1.17024880847826e-07	1.06099360561501e-06	7.50087178450888
SLC2A5	2.66549476190476	6.00885652173913	6.33878588673931	1.1803553862467e-07	1.06099360561501e-06	7.49249480225869
SDHB	-1.12520952380952	10.4020173913043	-6.29168424524269	1.38209440005369e-07	1.21502804400325e-06	7.33879823495305
GSN	2.1437969047619	10.4308956521739	6.28036926653057	1.43548753968734e-07	1.2356420813448e-06	7.30187887527575
CTSS	2.33059166666667	7.7641347826087	6.27712770682607	1.45116051620747e-07	1.2356420813448e-06	7.29130228212689
ATP5J2	-2.6575938095238	10.1105043478261	-6.27536052377063	1.45977682251147e-07	1.2356420813448e-06	7.28553634134488
FANCG	1.94768023809524	6.66509130434783	6.27382096750641	1.46732497159695e-07	1.2356420813448e-06	7.28051312257977
TUBB3	-2.74136714285714	5.94451304347826	-6.23755062337705	1.65689301121817e-07	1.37613690446402e-06	7.16217869520489
RELA	1.61242880952381	8.02753695652174	6.23545491468229	1.66856599666262e-07	1.37613690446402e-06	7.15534178560204
RBFOX3	-1.49874476190476	10.0624652173913	-6.22918322794646	1.70399242809932e-07	1.39101422701986e-06	7.13488177364831
TM4SF1	1.777015	6.11162391304348	6.22576906992637	1.72359281112485e-07	1.39280227161604e-06	7.12374405217919
S1PR3	2.55049928571429	6.18587391304348	6.21758416978392	1.77150432905617e-07	1.41720346324494e-06	7.09704381136899
UQCRC2	-1.24340714285714	11.6773260869565	-6.2061077250651	1.84093367436176e-07	1.44549947198709e-06	7.05960778853859
FCER1G	4.71367142857143	6.82658695652174	6.20577091945964	1.84301182678354e-07	1.44549947198709e-06	7.05850916353725
GRM3	-1.75564309523809	8.78402608695652	-6.19410631951189	1.91644981931779e-07	1.48850471403323e-06	7.02046157945088
WAS	2.67986190476191	6.08466739130435	6.18608824093385	1.96861918759098e-07	1.51432245199306e-06	6.99430954140152
CX3CL1	-1.41993452380952	8.38988260869565	-6.17711067309692	2.02871741354867e-07	1.54526737958759e-06	6.96502934844016
CYCS	-1.34212476190476	8.39418913043478	-6.17436236973884	2.04747927795355e-07	1.54526737958759e-06	6.95606609572486
ATP5PO	-1.28265	12.0124347826087	-6.13972810883049	2.29932056848151e-07	1.71911818204225e-06	6.84312347612216
LAIR1	3.48526547619048	5.96773913043478	6.13361645495617	2.34687077157264e-07	1.73842279375751e-06	6.82319594178565
CSF1	1.67350880952381	6.58433913043478	6.12532509867725	2.41295377111504e-07	1.77097524485507e-06	6.79616266225404
ATP5H	-1.66200714285714	10.771402173913	-6.1084999597112	2.55281971299605e-07	1.85659615490622e-06	6.74131066968596
PTEN	-1.10009523809524	11.391802173913	-6.09474599699922	2.67314943245632e-07	1.92659418555411e-06	6.69647629585805
MVP	2.39196857142857	8.17513043478261	6.08809605654713	2.73334319307378e-07	1.9523879950527e-06	6.67480096522114
PRKAR2B	-1.68008595238095	9.49656304347826	-6.0296123166409	3.32454843687545e-07	2.33301644693014e-06	6.48422879824997
GRIN2A	-1.1855269047619	9.74234130434783	-6.01849986578402	3.45054439824317e-07	2.39214319048662e-06	6.44803029561953
CASP4	2.44112761904762	5.60834782608696	6.0169400296815	3.4686076262056e-07	2.39214319048662e-06	6.44294950131973
COX5B	-1.35389285714286	12.3411304347826	-6.00001909198644	3.67072542450037e-07	2.48410536402959e-06	6.38783893466871
TPD52	-2.62101071428571	9.51144782608696	-5.99804109592199	3.69510672899401e-07	2.48410536402959e-06	6.3813973626149
LMNA	1.40466238095239	9.18168695652174	5.96842693153799	4.08006810516073e-07	2.72004540344049e-06	6.28497251336756
HDAC6	1.43011404761905	6.7862152173913	5.93610320724139	4.54605542116173e-07	3.00565647680114e-06	6.17976394292231
DAPK1	-1.3219269047619	7.83275434782609	-5.92699476051373	4.68670152258315e-07	3.07324690005453e-06	6.15012514917588
IL6R	2.57311261904762	6.41077173913043	5.91335760706009	4.90543024563166e-07	3.18306476438434e-06	6.1057566487461
