"ID_REF"	"GSM4869092"	"GSM4869093"	"GSM4869094"	"GSM4869095"	"GSM4869096"	"GSM4869097"	"GSM4869098"	"GSM4869099"	"GSM4869100"	"GSM4869101"	"GSM4869102"	"GSM4869103"	"GSM4869104"	"GSM4869105"	"GSM4869106"	"GSM4869107"	"GSM4869108"	"GSM4869109"	"GSM4869110"	"GSM4869111"	"GSM4869112"	"GSM4869113"	"GSM4869114"	"GSM4869115"	"GSM4869116"	"GSM4869117"	"GSM4869118"	"GSM4869119"	"GSM4869120"	"GSM4869121"	"GSM4869122"	"GSM4869123"	"GSM4869124"	"GSM4869125"	"GSM4869126"	"GSM4869127"	"GSM4869128"	"GSM4869129"	"GSM4869130"	"GSM4869131"	"GSM4869132"	"GSM4869133"	"GSM4869134"	"GSM4869135"	"GSM4869136"	"GSM4869137"	"GSM4869138"
"KDM4B"	8.543	9.8009	9.1344	10.036	9.6883	10.232	9.4094	10.472	10.107	9.5736	9.0417	10.01	10.353	9.9873	9.0444	10.032	9.9629	9.1649	8.9858	9.7665	10.404	9.7056	8.9715	10.091	10.225	9.0954	9.0056	9.7142	10.356	9.6055	9.9352	10.564	10.405	9.4717	9.5018	10.094	10.312	9.4136	9.4094	10.048	9.8734	10.291	9.3197	9.8218	9.9972	9.1874	9.1649
"KDM4C"	8.4305	10.85	8.9278	10.677	8.4757	10.281	8.3663	9.9858	10.582	8.9278	8.4305	10.405	10.508	8.1599	8.1997	10.211	10.631	8.4553	8.2479	10.452	10.164	8.1189	8.1344	10.638	10.24	8.4512	8.4959	10.175	9.973	8.5353	8.3174	9.7928	10.323	8.4094	8.1849	10.456	10.323	8.1137	8.7582	10.455	8.0661	7.9009	8.6184	10.425	10.164	8.3576	8.4998
"KDM4D"	5.6147	6.0875	4.3219	6.0875	4.3219	4.3219	4.3219	5.4919	5.2095	4.3219	5.2095	5.7549	4.3219	4.3219	5.3576	6.0875	6.1497	5.6439	5.0444	6.1898	4.7004	4.3219	5	6.1293	5.3923	5.4919	5.2854	5.6724	4.8074	4.3219	4.3219	4.3219	4.3219	5.2095	4.3219	6.2668	4.3219	4.9069	4.7549	5.9307	4.3219	4.3219	5.6439	6.0444	4.7549	4.9542	5.4919
"KDM5A"	8.6865	9.1799	8.9858	9.6439	9.1824	9.66	9.0768	9.3354	9.0471	8.8265	9.1699	9.683	8.9972	9.1472	9.0471	9.4979	9.6147	8.9801	9.0795	9.6294	9.4798	9.4115	8.8138	9.7177	9.4919	8.9972	8.8765	9.5294	9.4094	9.1472	9.1799	9.0553	9.5527	9.29	9.5157	9.5255	9.3729	8.8796	8.9629	9.3174	9.236	8.8455	8.9425	9.6294	9.8471	9.2479	8.9009
"KDM5B"	7.1497	7.4346	7.5774	8.0821	7.3487	7.9773	7.858	7.7482	7.6294	6.7279	7.4594	7.9366	7.9366	7.858	7.7482	7.9189	7.9189	7.2854	7.2946	7.96	7.7879	7.5999	7.1699	8.1085	7.4346	7.0875	7.7279	8.0056	7.8826	7.1599	8.1293	7.5469	7.9129	7.8202	7.7211	8.0389	7.6935	7.0553	7.2668	7.6935	7.7004	7.7549	6.8948	8.0553	7.9189	7.1599	7.2192
"KDM5C"	9.3509	9.7398	9.3332	9.545	10.581	10.57	10.309	10.687	9.9773	9.8122	8.9915	9.2143	10.674	10.905	9.5641	9.7194	9.3309	9.4094	9.2021	9.3106	10.301	10.098	9.8376	9.3619	10.008	10.059	9.5584	9.7482	9.8234	9.5943	10.571	10.943	9.9801	9.5981	10.102	9.8186	9.7039	9.5177	9.3242	9.5038	10.326	10.632	9.858	9.8486	9.8611	9.3837	9.1972
"KDM5D"	9.3923	10.273	9.6073	10.219	4.3219	4.3219	4.3219	4.3219	10.594	10.167	9.1674	9.4136	4.3219	4.3219	4.3219	4.3219	10.047	9.9129	9.1215	9.5372	4.3219	4.3219	4.3219	9.825	4.3219	4.3219	4.3219	4.3219	10.175	10.152	4.3219	4.3219	10.317	10.09	4.3219	4.3219	10.289	10.192	9.9844	10.028	4.3219	4.3219	4.3219	4.3219	10.23	9.5565	9.29
"KDM6A"	6.5236	7.2574	6.4757	7.9715	7.5925	8.224	7.1497	7.5622	6.7682	6.375	7.1898	7.983	7.4594	6.9542	7.0334	8.2432	8.0389	6.9307	6.8455	8	8.0389	7.7616	7.2761	7.8826	8.0928	7.2946	7.5236	8.3399	7.6366	6.7682	6.9425	7.1599	7.7415	7.3487	7.585	8.2288	7.4179	7.1189	6.9069	7.6865	7.0224	7.0875	7.0768	8.4676	7.4919	6.8455	6.9307
"KIF2C"	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.7549	4.3219	4.3219	4.3219	4.3219
"KIR3DL1"	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	5.1293	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.7004	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219	4.3219
